Joe, Bob, Whatever, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Donald, J, Trump, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Barrack, H, Obama, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
George, W, Bush, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Bill, Jefferson, Clinton, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
George, Herbert Walker, Bush, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Ronald, Wilson, Reagan, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Jimmy, Earl, Carter, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Gerald, Rudolph, Ford, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Richard, Milhous, Nixon, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Lyndon, Baines, Johnson, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
John, Fitzgerald, Kennedy, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Dwight, David, Eisenhower, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
Harry, S, Truman, asdfasdf, asdfasdff, asdfasdf, asdfasdf, qwerwqrqwer, qwerwqerqrqwer, qwerwqerqerw, 4.0, asdfasf
